Year;Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Coverage;Categories;Areas
2023;2123;26857;International Migration Review;journal;1747-7379, 0197-9183;SAGE Publications Ltd;No;No;1,559;Q1;126;64;128;4816;569;128;2,96;75,25;43,28;26;United States;Northern America;1971-1974, 1977-2026;"Arts and Humanities (miscellaneous) (Q1); Demography (Q1)";"Arts and Humanities; Social Sciences"
2023;2124;19062;Respirology;journal;1440-1843, 1323-7799;John Wiley and Sons Inc;No;No;1,559;Q1;120;214;698;4824;1997;332;2,65;22,54;36,01;12;United States;Northern America;1996-2026;Pulmonary and Respiratory Medicine (Q1);Medicine
2023;2125;14871;International Journal of Behavioral Development;journal;0165-0254, 1464-0651;SAGE Publications Ltd;No;No;1,558;Q1;119;49;175;2844;739;174;3,09;58,04;62,24;2;United Kingdom;Western Europe;1978-2026;"Developmental and Educational Psychology (Q1); Developmental Neuroscience (Q1); Education (Q1); Life-span and Life-course Studies (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1)";"Neuroscience; Psychology; Social Sciences"
2023;2126;21275;Journal of Immunology;journal;1550-6606, 0022-1767;American Association of Immunologists;No;No;1,558;Q1;433;360;1696;20748;6346;1683;3,40;57,63;44,74;2;United States;Northern America;1935, 1941, 1945-2026;"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
2023;2127;26239;Quaternary Science Reviews;journal;0277-3791;Elsevier Ltd;No;No;1,558;Q1;230;367;1225;38185;4705;1179;3,47;104,05;34,86;14;United Kingdom;Western Europe;1982-2026;"Archeology (Q1); Archeology (arts and humanities) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Geology (Q1); Global and Planetary Change (Q1)";"Agricultural and Biological Sciences; Arts and Humanities; Earth and Planetary Sciences; Environmental Science; Social Sciences"
2023;2128;17700155010;Australasian Marketing Journal;journal;1441-3582, 1839-3349;SAGE Publications Ltd;No;No;1,557;Q1;67;37;129;2400;926;118;5,75;64,86;45,16;1;Australia;Pacific Region;2003-2026;"Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
2023;2129;25488;Diabetes and Metabolism;journal;1262-3636, 1878-1780;Elsevier Masson s.r.l.;No;No;1,557;Q1;114;61;263;2091;1098;191;4,02;34,28;44,15;0;France;Western Europe;1996-2026;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
2023;2130;28302;Digestive Endoscopy;journal;0915-5635, 1443-1661;John Wiley and Sons Inc;No;No;1,557;Q1;87;196;828;3925;2283;420;2,56;20,03;17,40;2;United States;Northern America;1989-2026;"Gastroenterology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";Medicine
2023;2131;21101066138;Journal of International Business Policy;journal;2522-0691, 2522-0705;Palgrave Macmillan Ltd.;No;No;1,557;Q1;39;24;87;2201;711;59;6,69;91,71;25,53;7;United Kingdom;Western Europe;2018-2026;"Business and International Management (Q1); Management of Technology and Innovation (Q1)";Business, Management and Accounting
2023;2132;28708;National Tax Journal;journal;1944-7477, 0028-0283;University of Chicago Press;No;No;1,557;Q1;72;35;116;1490;219;107;1,51;42,57;43,33;16;United States;Northern America;1985, 1989, 1995-2026;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
2023;2133;19700188321;Database : the journal of biological databases and curation;journal;1758-0463;Oxford University Press;Yes;No;1,556;Q1;93;105;330;4551;1665;330;3,48;43,34;33,47;2;United Kingdom;Western Europe;2009-2026;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Medicine"
2023;2134;16442;Journal of Travel Medicine;journal;1195-1982, 1708-8305;Oxford University Press;No;No;1,556;Q1;80;161;586;3643;2859;403;4,03;22,63;46,00;19;United Kingdom;Western Europe;1994-2026;"Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)";Medicine
2023;2135;4700153006;ACM Transactions on Algorithms;journal;1549-6325, 1549-6333;Association for Computing Machinery;No;No;1,555;Q1;66;43;118;1714;227;115;1,90;39,86;17,83;0;United States;Northern America;2005-2026;Mathematics (miscellaneous) (Q1);Mathematics
2023;2136;23212;Annales de l'institut Henri Poincare (B) Probability and Statistics;journal;0246-0203;Institute of Mathematical Statistics;No;No;1,555;Q1;60;80;282;3155;422;282;1,43;39,44;13,66;0;Netherlands;Western Europe;1997-2025;"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
2023;2137;21101074923;Smart Energy;journal;2666-9552;Elsevier Ltd;Yes;No;1,555;Q1;26;32;74;1930;466;72;6,30;60,31;22,48;3;United Kingdom;Western Europe;2021-2026;"Energy Engineering and Power Technology (Q1); Energy (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1); Mechanical Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Engineering; Environmental Science"
2023;2138;21101060497;Eye and Vision;journal;2326-0254;Springer Nature;Yes;No;1,553;Q1;52;49;149;2262;762;147;4,41;46,16;38,80;0;United Kingdom;Western Europe;2014-2026;"Health Professions (miscellaneous) (Q1); Ophthalmology (Q1)";"Health Professions; Medicine"
2023;2139;12383;International Journal of Impact Engineering;journal;0734-743X;Elsevier Ltd;No;No;1,553;Q1;173;322;659;14385;4117;657;6,09;44,67;20,28;0;United Kingdom;Western Europe;1983-2026;"Aerospace Engineering (Q1); Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Ocean Engineering (Q1); Safety, Risk, Reliability and Quality (Q1)";Engineering
2023;2140;16812;Journal of Psychiatric Research;journal;1879-1379, 0022-3956;Elsevier Ltd;No;No;1,553;Q1;180;481;1662;26799;7394;1624;4,02;55,72;48,61;38;United Kingdom;Western Europe;1961-1979, 1981-1982, 1984-2026;"Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience"
2023;2141;15598;Experimental Neurology;journal;0014-4886, 1090-2430;Academic Press Inc.;No;No;1,552;Q1;219;234;778;16260;4106;760;4,96;69,49;41,80;3;United States;Northern America;1959-2026;"Developmental Neuroscience (Q1); Neurology (Q1)";Neuroscience
2023;2142;14316;Harvard Law Review;journal;0017-811X;Harvard Law Review Association;No;No;1,552;Q1;103;47;145;4509;308;107;2,03;95,94;36,36;1;United States;Northern America;1973-2026;Law (Q1);Social Sciences
2023;2143;16751;Journal of Neurology;journal;0340-5354, 1432-1459;Springer Science and Business Media Deutschland GmbH;No;No;1,552;Q1;175;594;1747;24610;7956;1478;4,54;41,43;46,01;32;Germany;Western Europe;1974-2026;"Neurology (Q1); Neurology (clinical) (Q1)";"Medicine; Neuroscience"
2023;2144;18200156707;Psychological Trauma: Theory, Research, Practice, and Policy;journal;1942-969X, 1942-9681;American Psychological Association;No;No;1,552;Q1;91;205;728;10200;3228;721;2,67;49,76;61,54;4;United States;Northern America;2009-2026;"Clinical Psychology (Q1); Social Psychology (Q1)";Psychology
2023;2145;21100310030;Advances in Climate Change Research;journal;1674-9278, 2524-1761;KeAi Communications Co.;Yes;No;1,551;Q1;59;97;215;4606;1399;207;6,10;47,48;40,05;6;China;Asiatic Region;2010-2026;"Atmospheric Science (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1)";"Earth and Planetary Sciences; Environmental Science"
2023;2146;19212;Current Rheumatology Reports;journal;1534-6307, 1523-3774;Springer;No;No;1,551;Q1;98;28;209;2428;1172;209;5,72;86,71;42,31;0;United States;Northern America;1999-2026;Rheumatology (Q1);Medicine
2023;2147;4800154012;Journal of Communications and Networks;journal;1229-2370, 1976-5541;Korean Institute of Communications Information Sciences;No;No;1,551;Q1;63;61;139;2592;649;135;3,84;42,49;20,60;0;South Korea;Asiatic Region;1999-2025;"Computer Networks and Communications (Q1); Information Systems (Q1)";Computer Science
2023;2148;28387;Inflammatory Bowel Diseases;journal;1078-0998, 1536-4844;Oxford University Press;No;No;1,550;Q1;192;258;979;8608;3384;665;3,40;33,36;45,96;8;United States;Northern America;1995-2026;"Gastroenterology (Q1); Immunology and Allergy (Q1)";Medicine
2023;2149;5800207554;Interpreting;journal;1569-982X, 1384-6647;John Benjamins Publishing Company;No;No;1,550;Q1;49;6;37;385;132;33;2,56;64,17;55,56;0;Netherlands;Western Europe;1996-2000, 2004-2026;Linguistics and Language (Q1);Social Sciences
2023;2150;21100779233;Journal of Racial and Ethnic Health Disparities;journal;2196-8837, 2197-3792;Springer Science and Business Media Deutschland GmbH;No;No;1,550;Q1;64;294;542;14407;2293;542;4,33;49,00;60,16;37;Germany;Western Europe;2014-2026;"Anthropology (Q1); Health Policy (Q1); Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Sociology and Political Science (Q1)";"Medicine; Social Sciences"
2023;2151;11700154366;Journal of Leadership and Organizational Studies;journal;1939-7089, 1548-0518;SAGE Publications Inc.;No;No;1,549;Q1;74;27;84;2516;491;83;4,78;93,19;41,94;0;United States;Northern America;1996-1999, 2003, 2008-2026;"Business and International Management (Q1); Management Science and Operations Research (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
2023;2152;19700187607;Journalism Studies;journal;1461-670X, 1469-9699;Routledge;No;No;1,549;Q1;94;110;358;6737;1225;356;2,93;61,25;52,87;0;United Kingdom;Western Europe;2001-2026;Communication (Q1);Social Sciences
2023;2153;21100978391;Cells;journal;2073-4409;Multidisciplinary Digital Publishing Institute (MDPI);Yes;No;1,547;Q1;196;2847;10382;254252;60165;10201;5,16;89,31;47,63;24;Switzerland;Western Europe;2011-2026;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1);Biochemistry, Genetics and Molecular Biology
2023;2154;14812;Journal of Travel and Tourism Marketing;journal;1054-8408, 1540-7306;Routledge;No;No;1,547;Q1;118;51;162;4689;1511;160;8,98;91,94;42,07;0;United States;Northern America;1992-2025;"Marketing (Q1); Tourism, Leisure and Hospitality Management (Q1)";Business, Management and Accounting
2023;2155;19816;Biology of Sport;journal;0860-021X, 2083-1862;Institute of Sport;Yes;No;1,546;Q1;57;119;250;5275;1213;250;4,70;44,33;18,07;1;Poland;Eastern Europe;1996-2026;"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Physiology (medical) (Q1); Sports Science (Q1)";"Health Professions; Medicine"
2023;2156;19558;Journal of Women's Health;journal;1540-9996, 1931-843X;Mary Ann Liebert Inc.;No;No;1,546;Q1;129;172;677;6108;2410;588;3,60;35,51;71,00;11;United States;Northern America;1993, 1997-2026;Medicine (miscellaneous) (Q1);Medicine
2023;2157;12700;Nucleus;journal;1949-1042, 1949-1034;Taylor and Francis Ltd.;Yes;No;1,546;Q1;62;24;55;2436;145;50;2,38;101,50;48,35;0;United States;Northern America;2010-2026;"Cell Biology (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
2023;2158;21100451398;Asia-Pacific Journal of Ophthalmology;journal;2162-0989;Elsevier B.V.;Yes;No;1,545;Q1;54;94;285;3799;1098;208;3,06;40,41;43,34;0;Netherlands;Western Europe;2012-2026;"Medicine (miscellaneous) (Q1); Ophthalmology (Q1)";Medicine
2023;2159;19700188391;Current Topics in Behavioral Neurosciences;book series;1866-3389, 1866-3370;Springer Science and Business Media Deutschland GmbH;No;No;1,545;Q1;82;92;258;9660;744;24;2,47;105,00;43,75;1;Germany;Western Europe;2009-2026;Behavioral Neuroscience (Q1);Neuroscience
2023;2160;21101038511;Journal of Geophysical Research: Oceans;journal;2169-9291, 2169-9275;Wiley-Blackwell;No;No;1,543;Q1;224;343;1501;23594;5843;1493;3,35;68,79;30,15;0;United States;Northern America;1986-1992, 1994-2026;"Earth and Planetary Sciences (miscellaneous) (Q1); Geochemistry and Petrology (Q1); Geophysics (Q1); Oceanography (Q1); Space and Planetary Science (Q1)";Earth and Planetary Sciences
2023;2161;110175;Psychiatric Services;journal;1557-9700, 1075-2730;American Psychiatric Association;No;No;1,543;Q1;178;253;825;2268;2303;675;2,59;8,96;58,95;38;United States;Northern America;1971-1973, 1976, 1978, 1982-1983, 1985, 1987, 1995-2025;"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)";Medicine
2023;2162;23626;Science Education;journal;0036-8326, 1098-237X;Wiley-Liss Inc.;No;No;1,543;Q1;150;57;155;5024;720;151;3,74;88,14;60,13;7;United States;Northern America;1930-2026;"Education (Q1); History and Philosophy of Science (Q1)";"Arts and Humanities; Social Sciences"
2023;2163;21100368801;IEEE/ACM Transactions on Audio Speech and Language Processing;journal;2329-9304, 2329-9290;Institute of Electrical and Electronics Engineers Inc.;No;No;1,542;Q1;104;312;783;18082;6165;781;7,86;57,96;26,19;0;United States;Northern America;2014-2025;"Acoustics and Ultrasonics (Q1); Computational Mathematics (Q1); Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Instrumentation (Q1); Media Technology (Q1); Signal Processing (Q1); Speech and Hearing (Q1)";"Computer Science; Engineering; Health Professions; Mathematics; Physics and Astronomy"
2023;2164;15673;Journal of Rural Studies;journal;0743-0167;Elsevier Ltd;No;No;1,542;Q1;156;233;867;17651;5232;863;5,81;75,76;50,71;61;United Kingdom;Western Europe;1985-2026;"Development (Q1); Forestry (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";"Agricultural and Biological Sciences; Social Sciences"
2023;2165;16791;Biochimica et Biophysica Acta - Bioenergetics;journal;0005-2728, 1879-2650;Elsevier B.V.;No;No;1,541;Q1;203;59;277;3950;1091;274;3,59;66,95;31,49;1;Netherlands;Western Europe;1967-2026;"Biochemistry (Q1); Biophysics (Q1); Cell Biology (Q1)";Biochemistry, Genetics and Molecular Biology
2023;2166;11700154618;Child and Adolescent Psychiatry and Mental Health;journal;1753-2000;BioMed Central Ltd;Yes;No;1,540;Q1;71;136;230;7630;1166;225;3,49;56,10;59,09;19;United Kingdom;Western Europe;2007-2026;"Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)";Medicine
2023;2167;19877;Journal of Democracy;journal;1045-5736, 1086-3214;Johns Hopkins University Press;Yes;No;1,539;Q1;119;51;159;1153;698;123;3,74;22,61;34,48;26;United States;Northern America;1996-2026;Sociology and Political Science (Q1);Social Sciences
2023;2168;22101;European Journal of Human Genetics;journal;1018-4813, 1476-5438;Springer Nature;No;No;1,538;Q1;153;227;652;6276;2446;561;3,04;27,65;58,33;11;Switzerland;Western Europe;1993-2026;"Genetics (Q1); Genetics (clinical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
2023;2169;21101160600;Research Methods in Applied Linguistics;journal;2772-7661;Elsevier B.V.;No;No;1,537;Q1;19;49;28;2538;223;27;7,96;51,80;50,00;2;Netherlands;Western Europe;2022-2026;"Linguistics and Language (Q1); Social Sciences (miscellaneous) (Q1)";Social Sciences
2023;2170;15361;IEEE Transactions on Instrumentation and Measurement;journal;0018-9456, 1557-9662;Institute of Electrical and Electronics Engineers Inc.;No;No;1,536;Q1;176;2266;4468;91173;28196;4451;6,01;40,24;27,96;0;United States;Northern America;1963-2026;"Electrical and Electronic Engineering (Q1); Instrumentation (Q1)";"Engineering; Physics and Astronomy"
2023;2171;12107;Behavior Therapy;journal;0005-7894, 1878-1888;Elsevier Inc.;No;No;1,535;Q1;141;75;291;4349;1249;290;3,47;57,99;54,50;6;United States;Northern America;1970-2026;Clinical Psychology (Q1);Psychology
2023;2172;21101120622;JAMA Health Forum;journal;2689-0186;American Medical Association;Yes;No;1,534;Q1;43;255;845;4581;2027;532;2,80;17,96;52,19;85;United States;Northern America;2020-2026;"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1)";Medicine
2023;2173;21100461914;LGBT Health;journal;2325-8306, 2325-8292;Mary Ann Liebert Inc.;No;No;1,534;Q1;68;82;189;3759;958;182;4,35;45,84;57,92;7;United States;Northern America;2014-2026;"Dermatology (Q1); Obstetrics and Gynecology (Q1); Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1); Urology (Q1)";Medicine
2023;2174;15111;Progress in Planning;journal;0305-9006;Elsevier Ltd;No;No;1,534;Q1;64;12;32;2423;187;32;5,79;201,92;34,38;1;United Kingdom;Western Europe;1973-2026;Geography, Planning and Development (Q1);Social Sciences
2023;2175;14292;Separation and Purification Technology;journal;1383-5866, 1873-3794;Elsevier B.V.;No;No;1,533;Q1;226;2434;5685;145634;50412;5675;8,84;59,83;37,04;6;Netherlands;Western Europe;1997-2026;"Analytical Chemistry (Q1); Filtration and Separation (Q1)";"Chemical Engineering; Chemistry"
2023;2176;21101095132;Behavioural Public Policy;journal;2398-0648, 2398-063X;Cambridge University Press;No;No;1,532;Q1;29;66;92;2880;378;86;4,03;43,64;35,77;23;United Kingdom;Western Europe;2017-2026;"Applied Psychology (Q1); Political Science and International Relations (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
2023;2177;12551;Best Practice and Research: Clinical Obstetrics and Gynaecology;journal;1521-6934, 1532-1932;Bailliere Tindall Ltd;No;No;1,532;Q1;116;71;294;4619;1455;269;4,02;65,06;45,95;2;United Kingdom;Western Europe;1999-2026;"Medicine (miscellaneous) (Q1); Obstetrics and Gynecology (Q1)";Medicine
2023;2178;21101034398;American Journal of Obstetrics and Gynecology MFM;journal;2589-9333;Elsevier Inc.;No;No;1,531;Q1;45;437;626;12098;2252;485;3,01;27,68;61,56;29;United States;Northern America;2019-2026;"Medicine (miscellaneous) (Q1); Obstetrics and Gynecology (Q1)";Medicine
2023;2179;19700175165;Frontiers in Neural Circuits;journal;1662-5110;Frontiers Media SA;Yes;No;1,531;Q1;94;101;393;8761;1371;369;3,46;86,74;43,32;0;Switzerland;Western Europe;2007-2026;"Cellular and Molecular Neuroscience (Q1); Cognitive Neuroscience (Q1); Neuroscience (miscellaneous) (Q1); Sensory Systems (Q1)";Neuroscience
2023;2180;21100856611;Journal of Responsible Innovation;journal;2329-9460, 2329-9037;Taylor and Francis Ltd.;Yes;No;1,531;Q1;46;45;109;3266;588;93;5,25;72,58;47,83;6;United Kingdom;Western Europe;2014-2026;"Information Systems and Management (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
2023;2181;23863;Journal of Computational and Graphical Statistics;journal;1061-8600, 1537-2715;Taylor and Francis Ltd.;No;No;1,530;Q1;114;131;281;5481;656;273;1,92;41,84;27,00;1;United Kingdom;Western Europe;1992-2026;"Discrete Mathematics and Combinatorics (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
2023;2182;14434;Cladistics;journal;1096-0031, 0748-3007;Wiley-Blackwell Publishing Ltd;No;No;1,529;Q1;113;28;101;2588;427;100;4,57;92,43;21,62;2;United Kingdom;Western Europe;1985-2026;Ecology, Evolution, Behavior and Systematics (Q1);Agricultural and Biological Sciences
2023;2183;19700175160;Therapeutic Advances in Medical Oncology;journal;1758-8340, 1758-8359;SAGE Publications Inc.;Yes;No;1,529;Q1;80;176;569;10566;2495;557;4,13;60,03;44,04;6;United States;Northern America;2009-2026;Oncology (Q1);Medicine
2023;2184;85519;Ethics;journal;1539-297X, 0014-1704;University of Chicago Press;No;No;1,528;Q1;99;14;77;331;162;69;2,11;23,64;20,00;0;United States;Northern America;1973-1990, 1992-1993, 1996-2026;Philosophy (Q1);Arts and Humanities
2023;2185;4700152632;International Journal of Computer-Supported Collaborative Learning;journal;1556-1607, 1556-1615;Springer Publishing Company;No;No;1,528;Q1;77;24;64;1495;307;52;3,91;62,29;50,77;1;United States;Northern America;2006-2026;"Education (Q1); Human-Computer Interaction (Q1)";"Computer Science; Social Sciences"
2023;2186;21105;International Journal of Fatigue;journal;0142-1123;Elsevier Ltd;No;No;1,528;Q1;173;613;1545;30316;10136;1538;6,51;49,46;22,50;2;United Kingdom;Western Europe;1979-2026;"Industrial and Manufacturing Engineering (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Modeling and Simulation (Q1)";"Engineering; Materials Science; Mathematics"
2023;2187;21100310046;APL Materials;journal;2166-532X;American Institute of Physics;Yes;No;1,527;Q1;104;290;712;15666;3970;698;5,23;54,02;25,56;0;United States;Northern America;2013-2026;"Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)";"Engineering; Materials Science"
2023;2188;22094;Thin-Walled Structures;journal;0263-8231;Elsevier Ltd;No;No;1,527;Q1;147;1007;2139;49445;14198;2136;6,33;49,10;24,45;7;United Kingdom;Western Europe;1983-2026;"Building and Construction (Q1); Civil and Structural Engineering (Q1); Mechanical Engineering (Q1)";Engineering
2023;2189;18440;Clinics in Chest Medicine;journal;0272-5231, 1557-8216;W.B. Saunders;No;No;1,526;Q1;105;72;213;5875;1100;189;2,76;81,60;44,86;8;United States;Northern America;1980-2026;Pulmonary and Respiratory Medicine (Q1);Medicine
2023;2190;21255;Feminist Economics;journal;1466-4372, 1354-5701;Routledge;No;No;1,525;Q1;80;37;108;2198;574;105;5,53;59,41;68,75;15;United Kingdom;Western Europe;1995-2026;"Arts and Humanities (miscellaneous) (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Gender Studies (Q1)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
2023;2191;22452;International Journal of Neuropsychopharmacology;journal;1461-1457, 1469-5111;Oxford University Press;Yes;No;1,525;Q1;135;78;260;4591;1260;253;4,56;58,86;44,91;3;United Kingdom;Western Europe;1998-2026;"Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
2023;2192;15620;Earthquake Engineering and Structural Dynamics;journal;1096-9845, 0098-8847;John Wiley and Sons Ltd;No;No;1,524;Q1;175;246;464;11947;2387;463;4,98;48,57;20,41;4;United Kingdom;Western Europe;1972-2026;"Civil and Structural Engineering (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Geotechnical Engineering and Engineering Geology (Q1)";"Earth and Planetary Sciences; Engineering"
2023;2193;18338;Journal of the Royal Society of Medicine;journal;1758-1095, 0141-0768;SAGE Publications Ltd;Yes;No;1,524;Q1;102;88;347;1275;903;101;2,52;14,49;42,96;7;United Kingdom;Western Europe;1908-1918, 1920-1922, 1924-2026;Medicine (miscellaneous) (Q1);Medicine
2023;2194;145597;ELT Journal;journal;1477-4526, 0951-0893;Oxford University Press;No;No;1,523;Q1;87;51;166;685;484;148;2,61;13,43;48,68;0;United Kingdom;Western Europe;1946-2025;"Developmental and Educational Psychology (Q1); Education (Q1); Linguistics and Language (Q1)";"Psychology; Social Sciences"
2023;2195;21100316063;European Heart Journal: Acute Cardiovascular Care;journal;2048-8734, 2048-8726;Oxford University Press;No;No;1,523;Q1;64;149;494;3132;1479;386;2,38;21,02;28,69;5;United Kingdom;Western Europe;2012-2026;"Cardiology and Cardiovascular Medicine (Q1); Critical Care and Intensive Care Medicine (Q1); Medicine (miscellaneous) (Q1)";Medicine
2023;2196;9500153930;IEEE Transactions on Circuits and Systems II: Express Briefs;journal;1558-3791, 1549-7747;Institute of Electrical and Electronics Engineers Inc.;No;No;1,523;Q1;141;916;2462;18122;11618;2453;4,63;19,78;24,81;0;United States;Northern America;2003-2026;Electrical and Electronic Engineering (Q1);Engineering
2023;2197;25334;Journal of Substance Abuse Treatment;journal;1873-6483, 0740-5472;Elsevier Inc.;No;No;1,523;Q1;0;0;0;0;0;0;0,00;0,00;0,00;0;United States;Northern America;1984-2023;"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
2023;2198;4700152871;Bernoulli;journal;1350-7265;Bernoulli Society for Mathematical Statistics and Probability;No;No;1,522;Q1;85;135;332;5301;666;332;1,89;39,27;20,68;0;Netherlands;Western Europe;1995-2026;Statistics and Probability (Q1);Mathematics
2023;2199;14194;Games and Economic Behavior;journal;1090-2473, 0899-8256;Academic Press Inc.;No;No;1,522;Q1;114;159;420;6415;499;417;1,04;40,35;17,24;13;United States;Northern America;1989-2026;"Economics and Econometrics (Q1); Finance (Q1)";Economics, Econometrics and Finance
2023;2200;21100469613;Movement Ecology;journal;2051-3933;BioMed Central Ltd;Yes;No;1,522;Q1;55;75;160;5326;702;160;3,55;71,01;25,54;13;United Kingdom;Western Europe;2013-2026;Ecology, Evolution, Behavior and Systematics (Q1);Agricultural and Biological Sciences
2023;2201;16322;Desalination;journal;0011-9164;Elsevier B.V.;No;No;1,521;Q1;258;675;1408;45151;13406;1406;9,07;66,89;32,54;8;Netherlands;Western Europe;1966-2026;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Water Science and Technology (Q1)";"Chemical Engineering; Chemistry; Engineering; Environmental Science; Materials Science"
2023;2202;21100913557;Earth Systems and Environment;journal;2509-9426, 2509-9434;Springer International Publishing AG;No;No;1,521;Q1;49;52;171;3877;1314;170;6,58;74,56;20,88;4;Switzerland;Western Europe;2017-2026;"Computers in Earth Sciences (Q1); Economic Geology (Q1); Environmental Science (miscellaneous) (Q1); Geology (Q1); Global and Planetary Change (Q1)";"Earth and Planetary Sciences; Environmental Science"
2023;2203;29607;Journal of Leukocyte Biology;journal;0741-5400, 1938-3673;Oxford University Press;No;No;1,521;Q1;231;113;679;7793;3199;625;3,96;68,96;49,00;1;United States;Northern America;1984-2026;"Cell Biology (Q1); Immunology (Q1); Immunology and Allergy (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
2023;2204;19700188421;Monthly Notices of the Royal Astronomical Society: Letters;journal;1745-3925, 1745-3933;Oxford University Press;Yes;No;1,521;Q1;130;165;508;7210;1902;508;3,82;43,70;28,59;0;United Kingdom;Western Europe;2005-2025;"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)";"Earth and Planetary Sciences; Physics and Astronomy"
2023;2205;26811;Computer Networks;journal;1389-1286;Elsevier B.V.;No;No;1,520;Q1;177;485;1263;25038;8643;1237;6,18;51,62;26,56;2;Netherlands;Western Europe;1978, 1980, 1990, 1996-2026;Computer Networks and Communications (Q1);Computer Science
2023;2206;21101039610;Current Protocols;journal;2691-1299;John Wiley and Sons Inc;No;No;1,520;Q1;157;294;887;11294;3923;883;3,42;38,41;43,98;2;United States;Northern America;2021-2026;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Health Informatics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medical Laboratory Technology (Q1); Neuroscience (miscellaneous) (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Immunology and Microbiology; Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
